,interest_name,audience
6003361843821,Enneagram (geometry),281360
6003161884085,Ginger ale,1399700
6003076214929,Cat café,3713640
6003284803711,Tofu,18908100
6003436306402,Ravioli,4090350
6003644775438,Lavandula,11508900
6003002261582,Teapot,4330070
6003219481298,Rambutan,5731270
6002879691572,Teppanyaki,3884830
6003235832885,Ricotta,6137190
6003673287662,Fanta,12638900
6003718883516,Puerto Rican cuisine,5648960
6003629203383,Foie gras,2665190
6002984975419,Jalapeño,10303290
6003101895040,Gummy bear,20154860
6003788962478,Clove,15097260
6003632776783,Cheetos,9319430
6002868040622,Common fig,6144630
6003632213583,Parsley,10431200
6003268353336,Plum,19714190
6003969340548,Chestnut,5432540
6003117651868,Cookies and Cream,4410220
6003438229977,Focaccia,2927670
6003029530007,Liquorice,8846570
6003106789234,Fruit curd,14510970
6003494546227,Herbal tea,20618820
6003401093839,Magnetic field,14543190
6002949123574,Full breakfast,10181642
6003136553300,Tea culture,1537460
6003012081997,Mochi,9934150
6003280213610,Zucchini,9991130
6003353270460,Dim sum,17875350
6003371587140,Gourmand,5333330
6003122006734,Irish whiskey,6518940
6003443456137,Wort,4849840
6016519316161,Trenza,14372410
6004534556312,Truffle,9189700
6003138026500,Powdered sugar,4291490
6003181627014,Phaseolus vulgaris,7784480
6002899141110,Tutti frutti (food),1837240
6003355806787,Campari,2194720
6003412436991,Pâté,3015030
6003066369670,Shortcrust pastry,590780
6003468224403,Carbonara,5043780
6003023827692,Coca (pastry),0
6003029944785,Seattle's Best Coffee,7925720
6003144034366,Ganache,6261520
6003340116196,Kefir,4668950
6003162284978,Teavana,7618890
6003351896888,Paste (food),39058390
6003423341406,Taiwanese cuisine,7152840
6003479048887,Sweet potato,17875030
6003332086032,Portuguese cuisine,4361970
6004111911609,Garde manger,2415450
6014673807756,Ruta,13984600
6003140975566,Veggie burger,3639839
6003290207943,Baguette,8333730
6003472488487,British cuisine,8751550
6003144628440,Asparagus,8953000
6003111531435,Cream cheese,20291690
6002910631572,Falafel,9612360
6003342597628,Carpaccio,1209510
6003511764864,Fondue,5936960
6003186590455,Populus,0
6003174379035,Pork ribs,13061350
6002970869121,Banquet,5013600
6003436655312,Break (work),7725150
6003539270827,Oatmeal,16073780
6003048639156,Samosa,8286570
6003114403792,Bread roll,23080770
6003024774693,Roe,4272560
6003453057871,Izakaya,4563710
6003487814431,Dried fruit,23761770
6003283346254,Almond milk,5209420
6002958519850,Cup,6468200
6003433284154,Coconut oil,30088070
6003131130036,Gratin,2551950
6002986413782,Ficus,6626500
6003081467301,Oregano,8716060
6003029850607,Anise,4156230
6003054965956,Argentine cuisine,2895760
6003130694636,Pretzel,7217780
6003329465448,Macadamia,7337550
6004034385809,Tamarind,12566360
6003515377831,Dr Pepper,6220060
6003351409032,Carrot cake,3931130
6003290063651,Passiflora edulis,8754480
6004601055303,Single-serve coffee container,4388280
6003166851158,Chutney,7206040
6003040299915,Drugstore,1663350
6003012347681,Cauliflower,8251850
6003340527196,Lipton,11266850
6003695996690,7 Up,6079260
6003130662236,Molecular gastronomy,415100
6003154026665,Nandi Awards,32139610
6003277832076,Boletus edulis,494020
6003102525040,Dusk,2663440
6003110064342,Clam,15099630
6003650097913,Bell pepper,14445730
6003135243408,Perch,4310290
6003584469238,Orange juice,9462940
6003204224013,Tonic water,3664080
6003302163828,Turkish coffee,5700420
6003122029534,Sea salt,9541950
6003255995282,Aperol Spritz,1265274
6003202179013,Toothpaste,39231440
6003280133023,Fish and chips,9162730
6003659365316,Highball,5030360
6004042828589,Crème caramel,6151040
6003107259501,Leontopodium alpinum,1398750
6002972010574,Cassoulet,6830240
6003154808705,Horse tack,7247290
6003526863103,French toast,3471440
6003137187750,Breakfast cereal,8575420
6004160824895,Spice mix,29042290
6003460935625,Brazilian cuisine,7625870
6003305659821,Pitaya,7771510
6015792271818,Qing dynasty,41621130
6003215274138,Drinking straw,1645910
6003437303154,Walnut,25486390
6002924580721,Orchard,18850290
6002971087994,Beetroot,16596990
6003493024225,Pilsner Urquell,867440
6002840120679,Food additive,13592950
6003708507960,Nutmeg,4319160
6003222055876,Limoncello,1427730
6003301835828,South Asian cuisine,4435900
6002953870523,Bánh,10750450
6003716863583,Honeysuckle,2852820
6003508867363,Supper,5522210
6003204111013,Jiaozi,5478140
6003344233527,Saffron,16832220
6003207399030,Rodízio,3135620
6003066105407,Mascarpone,2347130
6003130652836,Nelumbo nucifera,9217160
6003357308837,Quiche,3142440
6003706194146,Drill bit,9217970
6003470530747,Cocoa solids,6597140
6003240210010,Fajita,6928190
6003516890264,Pomegranate,20589410
6003283044527,Anchovy,3269270
6003109097893,European cuisine,6881730
6003285849127,Palm oil,15009690
6003051330045,Kitchen utensil,10903555
6003176269352,Canna (plant),2300680
6003299454611,Gallon,12745300
6003299599538,Couscous,4683700
6003420167554,Gummi candy,15525630
6003349497557,Malus,3847810
6003239280285,Non-timber forest product,2963960
6003196086098,Natural dye,2097990
6003349255405,Clementine,2030840
6003455501931,Powder (substance),4127120
6003495978631,Motor oil,28437020
6003015065529,Joie de vivre,1592440
6003437449731,Sandwich wrap,8312480
6004009994906,Costa Coffee,2555980
6004042988389,Coconut water,5559000
6003784913678,Chocolate chip,9713660
6003282109641,Puff pastry,3303780
6003390921144,Snickers,10957310
6002992918194,Date palm,4282020
6003195103498,Meatball,23856760
6003248849899,Bloody Mary (cocktail),1895990
6003144584384,Bread crumbs,5777100
6002964588929,Shawarma,32784420
6003022224493,Toothpick,3844440
6003792020904,Stuffing,11422910
6003089250992,Lychee,12483400
6003034218321,Compote,1388840
6003299669011,Toffee,6039160
6003584476838,Pakistani cuisine,12014120
6003117368068,Cask ale,3743820
6003224861876,Garnish (food),11158330
6003318680418,Syrah,1835450
6002969872729,Pad Thai,3285290
6003098045658,Cachaça,6352750
6003161798178,Feta,4090410
6003651047490,American bison,2612600
6002986713168,Turkish cuisine,20263740
6002987145594,Sunday roast,3152100
6003402653747,Meat chop,7910250
6003049907645,Marlin,4110180
6003472005463,Maotai,1202520
6003313669980,Béchamel sauce,4586160
6003265590114,Hot pot,33379140
6003391486203,Drink mixer,1719790
6003164413758,Caffè,2345370
6003383289181,Zest (ingredient),0
6002991953194,Chard,0
6002980189920,Chianti,1703470
6003681395690,Lutjanidae,0
6003241327675,Potato salad,4530480
6003240193810,Tangerine,4838740
6003361177200,Goat cheese,2028140
6003478307765,Brown sugar,18931670
6003736718491,Guarana,6129380
6003655365878,Stevia,9544540
6003329932177,Moroccan cuisine,5861010
6003195947655,Soba,1900130
6003468061203,Household goods,18244510
6003374730241,Sundae,9984850
6003380351437,McCoy's (crisp),324000
6003281163823,Iced tea,16296650
6003335447697,Game (food),6564570
6003171250255,Catfish,17642980
6003349064632,Kimchi,27912050
6003975980948,Sautéing,7506700
6003249377588,Mint (candy),5437450
6003251347461,Offal,1559510
6002926639572,Malbec,4488910
6003152991875,Salami,10111300
6003237216610,Cabernet Sauvignon,6552140
